Date : 2023-09-26 19:02:52
Directory : /Users/davidmejia/HenryEtapaPractica/Vianda-app
Total : 126 files,  21777 codes, 476 comments, 918 blanks, all 23171 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     11,335 |          0 |          2 |     11,337 |
| JavaScript JSX     |         80 |      6,875 |        331 |        639 |      7,845 |
| JavaScript         |         34 |      3,056 |        113 |        221 |      3,390 |
| HTML               |          1 |        313 |          0 |          7 |        320 |
| Prisma             |          1 |         80 |          2 |         11 |         93 |
| SQL                |          2 |         60 |         18 |         16 |         94 |
| Markdown           |          1 |         21 |          0 |         14 |         35 |
| CSS                |          1 |         16 |          8 |          5 |         29 |
| XML                |          2 |         14 |          0 |          2 |         16 |
| JSON with Comments |          2 |          7 |          4 |          1 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        126 |     21,777 |        476 |        918 |     23,171 |
| . (Files)                                                                                                      |          8 |     11,410 |         14 |         27 |     11,451 |
| prisma                                                                                                         |          3 |        140 |         20 |         27 |        187 |
| prisma (Files)                                                                                                 |          1 |         80 |          2 |         11 |         93 |
| prisma/migrations                                                                                              |          2 |         60 |         18 |         16 |         94 |
| prisma/migrations/20230920171412_init                                                                          |          1 |         59 |         11 |         15 |         85 |
| prisma/migrations/20230920171803_dni_unique                                                                    |          1 |          1 |          7 |          1 |          9 |
| public_old                                                                                                     |          2 |         14 |          0 |          2 |         16 |
| public_old/images                                                                                              |          2 |         14 |          0 |          2 |         16 |
| public_old/images/corporate                                                                                    |          2 |         14 |          0 |          2 |         16 |
| src                                                                                                            |        113 |     10,213 |        442 |        862 |     11,517 |
| src (Files)                                                                                                    |          1 |         49 |          2 |          9 |         60 |
| src/app                                                                                                        |         53 |      4,728 |        178 |        353 |      5,259 |
| src/app (Files)                                                                                                |          7 |        219 |         16 |         29 |        264 |
| src/app/admin                                                                                                  |         15 |      1,254 |         77 |        113 |      1,444 |
| src/app/admin (Files)                                                                                          |          2 |         36 |          1 |          8 |         45 |
| src/app/admin/dev                                                                                              |          1 |        188 |         10 |         12 |        210 |
| src/app/admin/mensajero                                                                                        |          1 |         72 |          5 |          8 |         85 |
| src/app/admin/menu                                                                                             |          2 |        245 |          0 |         14 |        259 |
| src/app/admin/menu (Files)                                                                                     |          1 |        103 |          0 |          6 |        109 |
| src/app/admin/menu/issue-menu                                                                                  |          1 |        142 |          0 |          8 |        150 |
| src/app/admin/pedidos                                                                                          |          3 |        339 |         41 |         28 |        408 |
| src/app/admin/pedidos (Files)                                                                                  |          1 |        125 |          7 |         12 |        144 |
| src/app/admin/pedidos/[pedidoId]                                                                               |          1 |         73 |          0 |          5 |         78 |
| src/app/admin/pedidos/pedidos-pdf                                                                              |          1 |        141 |         34 |         11 |        186 |
| src/app/admin/usuarios                                                                                         |          3 |        196 |         14 |         24 |        234 |
| src/app/admin/usuarios (Files)                                                                                 |          1 |        161 |         13 |         16 |        190 |
| src/app/admin/usuarios/actualizar-usuario                                                                      |          1 |         10 |          0 |          3 |         13 |
| src/app/admin/usuarios/actualizar-usuario/[usuarioId]                                                          |          1 |         10 |          0 |          3 |         13 |
| src/app/admin/usuarios/nuevo-usuario                                                                           |          1 |         25 |          1 |          5 |         31 |
| src/app/admin/viandas                                                                                          |          3 |        178 |          6 |         19 |        203 |
| src/app/admin/viandas (Files)                                                                                  |          1 |        159 |          4 |         13 |        176 |
| src/app/admin/viandas/actualizar-vianda                                                                        |          1 |          9 |          1 |          3 |         13 |
| src/app/admin/viandas/actualizar-vianda/[viandaId]                                                             |          1 |          9 |          1 |          3 |         13 |
| src/app/admin/viandas/nueva-vianda                                                                             |          1 |         10 |          1 |          3 |         14 |
| src/app/api                                                                                                    |         21 |      2,912 |         63 |        150 |      3,125 |
| src/app/api/auth                                                                                               |          5 |        203 |          3 |         18 |        224 |
| src/app/api/auth/check                                                                                         |          1 |         16 |          0 |          4 |         20 |
| src/app/api/auth/login                                                                                         |          1 |         64 |          3 |          5 |         72 |
| src/app/api/auth/loginGoogle                                                                                   |          1 |         60 |          0 |          3 |         63 |
| src/app/api/auth/logout                                                                                        |          1 |         27 |          0 |          3 |         30 |
| src/app/api/auth/modify                                                                                        |          1 |         36 |          0 |          3 |         39 |
| src/app/api/carta                                                                                              |          2 |        109 |         12 |          9 |        130 |
| src/app/api/carta (Files)                                                                                      |          1 |         87 |          9 |          4 |        100 |
| src/app/api/carta/[cartaId]                                                                                    |          1 |         22 |          3 |          5 |         30 |
| src/app/api/email                                                                                              |          3 |      1,766 |          0 |         44 |      1,810 |
| src/app/api/menu                                                                                               |          1 |         62 |          3 |          7 |         72 |
| src/app/api/pagos                                                                                              |          2 |         73 |          1 |          9 |         83 |
| src/app/api/pagos (Files)                                                                                      |          1 |         32 |          0 |          3 |         35 |
| src/app/api/pagos/webhook                                                                                      |          1 |         41 |          1 |          6 |         48 |
| src/app/api/pedidos                                                                                            |          3 |        234 |         15 |         20 |        269 |
| src/app/api/pedidos (Files)                                                                                    |          1 |        152 |          0 |         12 |        164 |
| src/app/api/pedidos/[usuarioId]                                                                                |          1 |         38 |         15 |          4 |         57 |
| src/app/api/pedidos/detalle-pedido                                                                             |          1 |         44 |          0 |          4 |         48 |
| src/app/api/pedidos/detalle-pedido/[pedidoId]                                                                  |          1 |         44 |          0 |          4 |         48 |
| src/app/api/usuarios                                                                                           |          3 |        216 |          0 |         19 |        235 |
| src/app/api/usuarios (Files)                                                                                   |          1 |         70 |          0 |          5 |         75 |
| src/app/api/usuarios/[usuarioId]                                                                               |          1 |         97 |          0 |          9 |        106 |
| src/app/api/usuarios/registro                                                                                  |          1 |         49 |          0 |          5 |         54 |
| src/app/api/viandas                                                                                            |          2 |        249 |         29 |         24 |        302 |
| src/app/api/viandas (Files)                                                                                    |          1 |        211 |         26 |         16 |        253 |
| src/app/api/viandas/[viandaId]                                                                                 |          1 |         38 |          3 |          8 |         49 |
| src/app/catalog                                                                                                |          7 |        175 |          5 |         35 |        215 |
| src/app/catalog (Files)                                                                                        |          2 |         91 |          3 |         14 |        108 |
| src/app/catalog/checkout                                                                                       |          1 |         17 |          0 |          3 |         20 |
| src/app/catalog/login                                                                                          |          1 |          9 |          0 |          5 |         14 |
| src/app/catalog/mi-cuenta                                                                                      |          2 |         48 |          2 |         10 |         60 |
| src/app/catalog/mi-cuenta (Files)                                                                              |          1 |         22 |          1 |          4 |         27 |
